text,label
"The Rum Diary
Johnny Depp gjør narko ubehagelig morsomt. 

Frykt og avsky i Las Vegas er en fantastisk film. 
The Rum Diary er en slags broderfilm, siden også den er basert på en roman av Hunter S. Thompson, har Johnny Depp i hovedrollen og bruker alkohol og narkotika som sentrale elementer. 

Men stemningen er annerledes. 
Her har paranoiaen ikke tatt helt over. 
Det er fremdeles igjen en kampånd i hovedfiguren. 

Men hva filmen egentlig forsøker å formidle, er like uklart som morgenen etter ei fyllekule. 

Ulovlige substanser 

Året er 1960 og journalisten Paul Kemp (Johnny Depp) flytter til den amerikanske kolonien Puerto Rico i Karibia for å jobbe i avisa The San Juan Star. 

Der forelsker han seg i vakre Chenault (Amber Heard), men hun er dessverre kona til den sleipe forretningsmannen Sanderson (Aaron Eckhart). 
Han drar Kemp inn i en lyssky virksomhet, samtidig som avisa viser seg å slite. 

Men kanskje vil ulovlige substanser ta knekken på dem først? 

Sliten og desillusjonert 

Filmen ble innspilt i Puerto Rico i 2009 og det gjør sitt til at filmens stemning sitter som limt. 
Tidskoloritten er også troverdig. 

Jeg føler meg virkelig transportert til 1960, til en usikker tid hvor den amerikanske tilstedeværelsen på øygruppa truer med å ødelegge ennå urørte perler, mot lokalbefolkningens vilje. 
Stemningen er preget av store penger, liten risiko og få moralske skrupler. 

Man skulle tro at Paul Kemp er opptatt nok med bare og overleve sine lange, harde, pengeløse alkonarkodager. 
Men han gjennomgår en langsom forvandling i løpet av filmen, fra en sliten, desillusjonert og selvdestruktiv pessimist, til sliten, desillusjonert og selvdestruktiv optimist. 

Dette er Johnny Depps belønning 

The Rum Diary er regissert av Bruce Robinson, som også har skrevet manuset etter Hunter S. Thompsons roman. 
Robinson er mest kjent for Whitnail & I fra 1987, som også mikset sterk alkohol og sort humor. 
Dette er hans første film siden Jennifer 8 i 1998, men han har åpenbart grepet rundt prosessen fremdeles. 

Det samme gjelder Johnny Depp. 
Det slår meg at dette sannsynligvis er hans belønning for å slite seg igjennom alle Pirates Of the Caribbean-filmene. 
Jeg har en følelse av at det er filmer som dette Depp brenner mest for. 

Her får han brukt flere deler av sitt spekter. 
Han tilfører filmen en sofistikert fornøyelighet, som gjør inntak av mistenkelige stoffer til en nesten ubehagelig fin opplevelse. 
Depp makter å gi Kemp et sympatisk preg, til tross for at han egentlig er en ansvarsløs rass. 

Skal kanskje ikke tolkes 

Hva som er den dypere meningen med filmen er opp til hver enkelt og tolke. 
Den formidler vel noe om kulturimperialisme, griskhet og begjær, men litt vagt. 

Og så handler det om hvordan en mann finner noe å kjempe for når han trodde han var ferdig med alt. 
Men kanskje skal den ikke tolkes, bare oppleves. 

The Rum Diary er kanskje ikke det mesterverket jeg hadde håpet på, sett i lys av slektskapet til Frykt og avsky i Las Vegas, men Depp gjør dette severdig nok 
",1
"En særnorsk øvelse
Regi: 
Sjur Paulsen. 
Med Arne Næss, Kristen Reagan, Terje Nordgaard Larsen, Ronny Dahl, Per Erik Evensen. 
Norsk. 

Dokumentar - tillatt for alle, egnet ungdom/voksne. 

Norsk dokumentarfilm i «Friluftslivets år» dyrker stress-samtidens motkrefter. 

Filmskaperne har tatt for seg noen personligheter: 
Filosofen og livsdyrkeren Arne Næss (92); eks-bokseren og ekstremsporteren Kristen Reagan (31); Terje Nordgaard Larsen og Ronny Dahl, ekstremskiere fra Narvik, som oppsøker eventyret i Lofoten i lånt reketråler; Per Evensen (59), ambulansesjåfør fra Østfold som tilbringer sommeren i opphøyd ensomhet i et branntårn. 

Felles for alle disse er at de finner fred og mening i naturen. 
De bryter - bevisst og aktivt - med det moderne samfunns stress, jag og karrierekrav. 
Enten det gjelder å legge seg rett på ryggen i en grassglenne motsols, eller risikere livet dinglende i tauverk i Kjerag, er det nettopp nærheten til naturen som er det meningsfulle. 

Det er nok på mange måter en særnorsk øvelse de dyrker. 
Turgåingens velsignelse i uendelig potens. 
Vi forstår slikt, vi nordmenn! 
At filmen kommer det året vi feirer våre siste 100, selvstendige år, er intet dårlig bidrag til den pågående diskurs: 
Hva vil det si å være norsk? 

«Loop» gir ingen egentlige svar, selvfølgelig. 
Men den dyrker gjenkjennelige kvaliteter. 
Og på sitt beste blir det en slags flott meditasjon. 

På det noe mer prosaiske plan kunne man ønske seg litt strammere regi og tettere strukturering av de forskjellige elementene. 

Men filmen lykkes i sitt viktigste: 
Å skape lyst! 
",1
"Alder ingen hindring
Dokumentar 

Norge 2013 

Regi: 
Håvard Bustnes 

Medvirkende: 
Shirley, Hinda 

Musikk: 
Ola Kvernberg 

Aldersgrense: 
Tillatt for alle 

Egnethet: 
Ungdom/voksen 

«Opprørske oldemødre» er en lett film som handler om veldig viktige ting. 
Den norske regissøren Håvard Bustnes har fulgt to gamle amerikanske damer som prøver å finne svar på spørsmålet knapt noen andre tør stille: 
Hva skjer når økonomien slutter å vokse? 
Resultatet er like deler rørende, morsomt og inspirerende. 

Damene heter Shirley og Hinda, og er født i henholdsvis 1923 og 1929. 
Selv om helsen er så som så, er vitebegjæret, pågangsmotet og humøret upåklagelig. 
Og kloke som de er, bekymrer Shirley og Hinda seg for sine barns, barnebarns og oldebarns fremtid i en verden hvor alt avhenger av økonomien, økonomien er avhengig av evig vekst og evig vekst er umulig. 

På hver sin el-trehjuling legger damene ut på en slags road trip. 
De oppsøker økonomer og finansfolk. 
Men ingen har noen beroligende svar å gi dem. 
Ved å bruke vanlig sunn fornuft, avslører Shirley og Hinda et system som er grunnleggende usunt. 

«Opprørske oldemødre» er rørende fordi de to er så fine folk, den er morsom fordi de er morsomme og den er inspirerende fordi den viser at alder ikke trenger å være en hindring. 
Man forlater kinosalen litt klokere — og med en følelse av at det kan være håp for menneskeheten, tross alt. 
",1
"Magi uten flukt
Regi: John Stephenson. 
Med: 
Kenneth Branagh, Zoe Wannamaker, Freddie Highmore, Jessica Claridge. 
Norske stemmer: 
Hallvard Lydvo, Per Skjølsvik. 
Engelsk eventyrfilm. 
7 år. 

Småsøt, men noe tam og stiv fortelling om et sandtroll, hans magiske evner og barns sans for eventyr. 

Det er bare å innrømme med en gang; etter Harry Potter-filmene, og Narnia-serien på TV (nå snart som film også), er kravene til magiske filmeventyr for barn blitt ganske høye. 
I den sammenligning blir «Sandtrollet» en noe blek kopi. 
Mest av alt fordi de fem barna og deres tilsynelatende slemme fetter, er vel litterære i replikkene. 
Men også fordi filmen generelt har et stivt preg, uten altfor supre effekter å skryte av. 
De norske stemmene fungerer greit nok, men heller ikke mer enn det. 

Tiden er 1. verdenskrig i England. 
Far skal i flyvåpenet, mor skal gjøre en innsats for konge og fedreland i London. 
Parets fem barn sendes til en eksentrisk onkel (velspilt av Kenneth Branagh) i et svært slott på landet. 
Ved sjøen bor et lite sandtroll med makt til å la ønsker gå i oppfyllelse. 
Akkurat det medfører både gleder og besvær for barna. 

Litt godmodig omtenksomhet, en dæsj rørende omsorg for far, noen dråper trolleri, er rystet sammen uten at magien løftes og tar flukt. 
",0
"Film:Tøff tidsreise 

Forrykende fortellerglede med snert 

Er hunder egnede foreldre? 
DreamWorks siste animasjonsfilm kan godt leses som en kommentar til debatten om hvem som skal få lov til å adoptere. 
Men den fungerer utmerket som ren og skjær sjarminnsprøyting. 
Mr. Peabody er nemlig verdens mest intelligente hund, «logrende laudabel fra Harvard» som det heter i den gode norske oversettelsen. 

Olympisk mester og gourmand er han også med en hjemmebygget tidsmaskin hvis eneste regel er: 
Ikke reis til en tid da du selv lever! 
Mr. Peabody forbarmet seg over gutten Sherman som barn og tok ham med til sin fasjonable toppleilighet i New York, og siden har han fungert som Shermans adoptivfar. 
Livet deres frem til nå får vi i en sekvens som bobler av hjertevarm fortellerglede til tonene av John Lennons hyllest til sønn Sean, «Beautiful Boy». 

Men når Sherman skal begynne på skolen starter problemene. 
Han biter sin snerpete skolevenninne på første skoledag samtidig som den kjipe undervisningsinspektøren får snusen i at han oppdras av en hund. 
Store utfordringer som må løses på flere kanter. 
Tidsmaskinen «TILBAK» er selvsagt motoren i historien, og filmskaperne tar oss med på forrykende reiser tilbake i tid, blant annet til 
Da Vinci i Firenze og Frankrike i revolusjonsåret 1789. 

Helsprø historie-omskriving følger, som vil evne å pirre vitebegjæret hos de yngre kinogjengerne - mens de får action på kjøpet! 
Ingen dårlig bragd! 
Actionsprellene er imidlertid fint dandert, for filmen mister aldri fokus på kjernen: 
En godhjertet fortelling om et far-sønn forhold litt utenom det vanlige. 
ØYSTEIN DAVID JOHANSEN 
",1
"Film:Snøhvit i sort-hvitt 

Denne spanske gjenfortellingen av Snøhvit-eventyret er en anselig estetisk nytelse. 

Fortalt som stumfilm (Alfonso de Vilallongas orkestermusikk, ispedd flamenco-innslag, er magnifikk), i ekspresjonistisk sort-hvitt. 
Hvert eneste bilde, hver eneste utsnitt, kunne vært rammet inn og hengt opp som et smellvakkert kunstfotografi på veggen. 

Historien er lett gjenkjennelig, men gitt ny lokal farge. 
Snøhvit er her datteren av Spanias mest elskede tyrefekter, som blir lammet i en ulykke i arenaen. 
Snøhvits mor dør i barsel, og tyrefekterens sykepleier - den onde stemoren - ser sitt snitt til å sikre seg den holdne helten. 
De syv dvergene kommer relativt sent inn i den ulykkelige jentas liv. 
Så bestemmer hun seg for å bli tyrefekter, hun også. 

«Blancanieves» er for skummel, sørgelig, surrealistisk og - vel, stum og sort-hvit - for barn. 
Det er en kunstfilm for voksne og kunstinteresserte unge voksne. 

Den er, i større grad enn «The Artist» (2011), en sjeldent gjennomført påminnelse om den kraften i sorte skygger, borende lys, fantasirik scenografi og ualminnelige fotografivinkler (de gamle mesterne Carl Theodor Dreyer og F.W. Murnau takkes i rulleteksten). 

MORTEN STÅLE NILSEN 
",1
"Togetherness S01
En ærlig dramakomedie om hverdagens problemer. 

Av og til kommer man over en TV-serie med rollefigurer som du blir skikkelig glad i, og som du virkelig kan relatere deg til fordi de oppleves som ekte mennesker. 

Slike serier kommer ikke så ofte, men med Togetherness har brødrene Mark og Jay Duplass, sammen med manusforfatter Steve Zissis, klart å skape åtte episoder med hjertevarmende hverdagshumor. 

Hvordan går det når forventningene du hadde til livet ikke blir oppfylt og virkelighetens harde realitet slår deg i fleisen? 
Det er det Togetherness handler om – om fire mennesker som prøver å finne lykken i en hverdag som ikke ble helt slik de hadde tenkt. 

Fire voksne under ett tak 

Brett og Michelle, spilt av Mark Duplass (The League) og Melanie Lynskey (kjent som Rose i Two and a Half Men), har vært gift i ti år og sliter med å holde den berømte gnisten ved like. 

Tina, søsteren til Michelle, spilt av Amanda Peet, er deprimert fordi hun i en alder av over tretti ikke har oppnådd noe i livet, og hverken har karriere, hus eller mann, mens Alex, bestekompisen til Brett, spilt av Steve Zissis, sliter med en havarert skuespillerkarriere på grun av hårtap og vektøkning. 

Når Alex kastes ut av leiligheten fordi han er blakk og Michelle kommer til L.A. for å prøve å starte en ny karriere som partyfikser, flytter de begge inn hos Michelle og Brett. 
Fire voksne under ett tak er mye, og dette presser de mange problemene deres frem i lyset. 

Bittersøt humor 

Det oppstår mange artige situasjoner i Togetherness og serien har sin del av kleine puteøyeblikk, men dette er ingen hysterisk situasjonskomedie. 

I tillegg til å være morsom er serien også sår og vond, fordi problemene som tas opp er vanskelige. 
Hvordan skal du si til partneren din at du synes sexen er kjedelig, eller at livet dere har sammen ikke gir deg noe? 
Hvordan skal du si til din beste venn at du elsker henne, hvis hun ikke føler det samme? 

Nettopp denne blandingen av det såre og det artige er det som gjør Togetherness så bra, den bittersøte humoren som tar hverdagslivet på kornet. 

I løpet av sesongens åtte episoder rekker du å bli kjent med de fire rollefigurene, og siden de oppleves som virkelige mennesker, som eksisterer utenfor TV-skjermen, rekker du også å bli glad i dem – det ble iallfall jeg. 

Nye episoder av «Togetherness» finner du på HBO Nordic hver mandag. 

Se traileren for «Togetherness» her, og si din mening om serien i kommentarfeltet! 
",1
"Page One:Inside The New York Times 

Vil The New York Times overleve avisdøden? 

BIFF: 
En verden uten aviser? 
Ikke en umulighet, skal vi tro dokumentarfilmen Page One: 
Inside The New York Times. 

Den tar oss med til en av verdens mest respektable avisredaksjoner, og viser hvordan også de merker de dårlige tidene i papiravisbransjen. 

Denne filmen vil få deg til å tenke deg om neste gang du fnyser av tanken om å måtte betale for å lese nyheter. 

De store bildene 

Hvorfor skal man måtte betale for nyheter? 
De får vi da gratis på internett? 

Filmen argumenterer for viktigheten av å ha journalister og publikasjoner som kan gå bak nyhetene, dypere inn i materien og vise oss de store bildene. 

Den hevder også at de aller fleste store gravende nyhetssaker i USA kan spores tilbake til The New York Times. 
Her får vi se hvordan noen av dem blir til. 

Burde være pensum 

Page One lar oss møte vaskeekte journalister og redaktører av den gamle sorten. 
De som drives av andre motivasjoner enn sensasjonsoverskrifter eller antall klikk på en nettside. 

Det morsomste møtet er med stjernereporter David Carr. 
Det er morsomt å se ham irettesette en kjekk tv-personlighet som nesten skryter av at han ikke er journalist. 

Carr er litt av en figur, som burde være pensum for alle journaliststudenter. 

Nyheter er ikke gratis 

En av journalistene forteller at det nå råder en oppfatning blant unge mennesker om at alt skal være gratis på nettet, inkludert nyheter. 

Men nyheter har aldri vært gratis, sier han. 
For at noen skal skrive nyheter, må det betales på ett eller annet vis. 
Nyheter lager seg ikke selv. 

Filmen viser hvordan også The New York Times er tvunget til å tenke nytt om hvordan de skal kunne tjene penger på sin journalistikk i fremtiden. 
De har valgt å ta betalt for sine nettjenester. 
Tiden vil vise om de kan overleve på det. 

Bør se filmen 

Jeg finner Page One: 
Inside The New York Times uhyre interessant. 

Den gir oss et verdifullt innblikk i de store utfordringene som avisbransjen står overfor, der tekniske nyvinninger står i fare for å utradere den tradisjonelle papiravisa. 
Er du avisleser, bør du se denne filmen, om du kan! 

Page One: 
Inside The New York Times vises nå på BIFF 
- Bergen Internasjonale Filmfestival. 
",1
"Safe
Voldsom film med dårlig actionflyt 

Jeg liker hardbarkede actionthrillere som ikke sparer på verken kuler, krutt eller flaue kommentarer. 
Safe har alt dette, men er samtidig delvis stygg, hakkete, ufin og sjarmløs. 

Jason Statham spiller med like mye innlevelse som en stumtjener, og er utstyrt med noen onelinere som er så dårlige at figuren hans like gjerne kunne vært stum. 

Men Safe minner meg også om lignende filmer fra tidlig 90-tall, som jeg liker, vanligvis med Steven Seagal i hovedrollen. 
Dette er middels godt. 

Mafiaen tar hevn 

Bokseren Luke (Jason Statham) får livet ødelagt når russisk mafia dreper kona hans som hevn etter en match han skulle ha tapt. 

De vet ikke at Luke også har en fortid som hemmelig politiagent, og når han redder ei lita, lynsmart jente, som kinesisk mafia bruker til å huske viktige tall, må han hamle opp med begge mafiaklanene, samt New Yorks korrupte politistyrke. 

Brukbar Statham 

Jeg kunne godt ha brukt tid på å gjøre narr av Jason Stathams manglende rekkevidde som skuespiller, men faktum er at han er ganske god på å spille den gravalvorlige og hardtslående actionhelten, en figur som jeg føler vi bør ha tilgjengelig til enhver tid. 

Man kan argumentere for at han er i ferd med å bli en parodi på seg selv, men det var også Schwarzenegger, Stallone, Seagal og Van Damme i sin tid, og jeg elsker dem fortsatt. 

Med noen flaue unntak, grunnet dårlig skrevet manus, gjør Statham en brukbar figur her. 

Actionflyten blir ødelagt 

Safe er en svært voldsom film, men noen heftige skuddvekslinger i New Yorks gater og bygninger. 
Man kan jo undre over at dette ikke gjør større inntrykk på media og byens innbyggere, for livet går tilsynelatende som normalt overalt. 
Kanskje er det så vanlig med nattklubbmassakre i New York at det ikke er nyheter lenger? 

Filmen har en egen stuntkoordinator, Chad Stahelski, høyt kreditert på rulleteksten. 
Men mye av hans actionflyt blir dessverre ødelagt av frenetisk redigering (Frédéric Thoraval) og filming av en kameramann (Stefan Czapsky) som må være hardt rammet av Parkinsons sykdom. 

Det er ganske sikkert et nøye overveid valg av regissør Boaz Yakin, men det ser ikke pent ut. 
Filmen har i det minste et grovkornet preg som Yakin dyrker fra start til slutt. 

Bedre på DVD? 

Safe er en helt middels god actionthriller, som sliter litt med troverdigheten. 

Men det hjelper på kredibiliteten at filmen er, noe overraskende, produsert av blant andre Tarantino-produsenten Lawrence Bender og Kevin Spacey. 

Og den har noen vibber som kan minne om fordums filmer man leide på VHS, og jeg tror denne vil fungere mye bedre om noen måneder, når den kan nytes hjemme i sofakroken med øl og pizza. 
",0
"Den femte statsmakt
Bare mildt engasjerende om WikiLeaks. 

WikiLeaks-filmen 
Den femte statsmakt er offentlig fornektet av grunnlegger Julian Assange gjennom et åpent brev til hovedrolleinnehaver Benedict Cumberbatch. 

Men min jobb er ikke å bedømme en film ut i fra hvor godt den stemmer overens med sannheten. 
Jeg må bedømme hvor god filmen er som film. 

Den femte statsmakt er et mildt engasjerende drama med interessant tematikk, men med tynne og skjematiske personkonflikter og tungnem symbolbruk. 

Unødvendige virkemidler 

Historien fortelles gjennom Daniel Berg (Daniel Brühl), en ung dataprogrammerer som fatter interesse for Assanges aktivisme på internett, og tilbyr sine tjenester når de møtes på en konferanse. 

Assange drar ham inn i en organisasjon som han sier har hundrevis av frivillige, og som har store planer for dramatiske avsløringer. 

Men det skal vise seg at Assange ikke er heeelt ærlig angående WikiLeaks sine ressurser. 

Regissør Bill Condon har hatt et problem her. 
Hvordan dramatisere situasjoner som i utgangspunktet er ganske udramatiske? 

Han forsøker å få dette til å virke som en slags spionthriller, med krypterte telefoner, hemmelige meldinger og skummel overvåkning, men Condon bruker også unødvendige virkemidler. 

De visuelle grepene med å plassere Berg og Assange i et endeløst kontorlandskap med sandgulv er feilslåtte. 

Når Berg-figuren begynner å ødelegge skjermer og lysrør i dette drømmebildet for å underbygge en dramatisk konfrontasjon med Assange, får jeg følelsen av å se filmatisk latskap. 

Dramatikken avtar 

Benedict Cumberbatch skuffer selvsagt ikke. 
Hvor godt hans Assange stemmer overens med virkeligheten, har jeg ingen formening om, men han skaper en interessant figur som kun glimtvis avslører ting om seg selv som kan forklare hans personlighet og engasjement. 

Han møtes godt av Daniel Brühl (Goodbye Lenin, Inglorious Basterds, Rush), en skuespiller jeg lenge har likt godt. 

Hans rolle som Daniel Berg er en sympatisk vei inn i historien, der han spiller en ung og kanskje blåøyd datahacker, som får lesset på seg ansvar og risiko som han kanskje ikke er klar for. 

Condons skildring av WikiLeaks sitt samarbeid med The Guardian, Der Spiegel og New York Times er blant det mest interessante, spesielt gjennom forholdet til journalisten Nick Davies (David Thewlis). 

Jeg liker også hvordan filmen lar Assange går til angrep mot filmen selv og de to bøkene den er basert på. 

Dessverre holder ikke hele filmen samme kvalitetsnivå. 
De fleste personkonfliktene er tamt skrevet, og dramatikken avtar mot slutten når den egentlig burde ha eskalert. 

Når man tenker på hvor god The Social Network ble om Facebook, er det synd at Den femte statsmakt ikke ble bedre om WikiLeaks. 
",0
